EmployeeID,PosGerencial,Priority,TotalRecords,BaselineRecords,PostBaselineRecords,BaselineEntry,BaselineExit,Anomalies,HasAnomaly
E1073,NaoGerente,NORMAL,195,30,165,518.8333333333334,1055.5,21,True
E1074,NaoGerente,NORMAL,195,30,165,528.4666666666667,1050.9333333333334,18,True
E1075,NaoGerente,NORMAL,195,30,165,528.7,1031.3666666666666,22,True
E1076,NaoGerente,NORMAL,195,30,165,518.9,1041.4666666666667,21,True
E1077,NaoGerente,NORMAL,195,30,165,531.2,1065.2,30,True
E1078,NaoGerente,NORMAL,195,30,165,526.1333333333333,1065.1333333333334,22,True
E1079,Gerente,HIGH,195,30,165,501.56666666666666,1046.1666666666667,18,True
E1080,NaoGerente,NORMAL,195,30,165,515.0,1049.7666666666667,21,True
E1081,Gerente,HIGH,195,30,165,528.9333333333333,1051.4,16,True
E1082,NaoGerente,NORMAL,195,30,165,529.6333333333333,1049.1333333333334,19,True
E1083,NaoGerente,NORMAL,195,30,165,523.3333333333334,1034.4666666666667,25,True
E1084,NaoGerente,NORMAL,195,30,165,518.6333333333333,1057.4333333333334,20,True
E1085,NaoGerente,NORMAL,195,30,165,512.9,1033.1,16,True
E1086,NaoGerente,NORMAL,195,30,165,519.4,1046.8666666666666,13,True
E1087,NaoGerente,NORMAL,195,30,165,533.6666666666666,1057.3333333333333,16,True
E1088,NaoGerente,NORMAL,195,30,165,518.4666666666667,1044.6,22,True
E1089,NaoGerente,NORMAL,195,30,165,526.8666666666667,1053.8333333333333,17,True
E1090,NaoGerente,NORMAL,195,30,165,517.4666666666667,1043.4666666666667,14,True
E1091,NaoGerente,NORMAL,195,30,165,520.8333333333334,1049.9,15,True
E1092,NaoGerente,NORMAL,195,30,165,523.3666666666667,1044.1333333333334,25,True
E1093,NaoGerente,NORMAL,195,30,165,525.8,1059.0666666666666,11,True
E1094,NaoGerente,NORMAL,195,30,165,513.8,1044.3666666666666,24,True
E1095,Gerente,HIGH,195,30,165,520.2,1040.3666666666666,21,True
E1096,NaoGerente,NORMAL,195,30,165,527.2,1044.2666666666667,18,True
E1097,NaoGerente,NORMAL,195,30,165,534.9,1058.5666666666666,19,True
E1098,NaoGerente,NORMAL,195,30,165,521.0,1060.4,29,True
E1099,Gerente,HIGH,195,30,165,512.7,1049.6333333333334,21,True
E1100,NaoGerente,NORMAL,195,30,165,527.6333333333333,1050.7,24,True
